index,field,id,title,web,paper,interview,Genre,Social,Environmental,Health,News,Personal,Business,Urban,Geography,Mixed,Task,Inform,Engage,Experiment,Advocate,Provoke,Socialize,Heal,Empower,Commemorate,Archive,Imagery,Color,Kinetics,Sound,Tangible,Smell,Shape,Typeface,Taste,Proximity,Anthropomorphics,Plot,Wording,Manipulate,Create,Walk,Situated,Immersive
36,personal life,p36,"Dear data (Weeks 11, 31, 33, 38, 42)",http://www.dear-data.com/theproject,,,static image/painting,,,,,x,,,,,,,x,x,,x,x,x,,,,x,x,,,,,x,,,x,,,,,,,,
37,urban studies,p37,Smellmap,https://sensorymaps.com/,,,static image/painting + event,,,,,,,x,,,,x,x,x,,,,,,,,,,,,,x,,,,x,,,,,,x,,
38,mixed topics,p38,Affective word clouds,,,,static image/painting,,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,x,,,,,,,,,,
39,social issues,p39,Blood Swept Lands and Seas of Red,https://www.paulcumminsceramics.com/blood-swept/,,,installation,x,,,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,x,
40,social issues,p40,Harassment Plants,https://luizaugustomm.github.io/pages/harassment-plants.html,,,installation,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,x,
41,environmental sciences & ecology,p41,Grewingk Glacier,https://www.adriensegal.com/grewingk-glacier,,,installation,,x,,,,,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,
42,environmental sciences & ecology,p42,Res Extensae,,,,installation,,x,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,
43,environmental sciences & ecology,p43,Move&Find,,,,installation,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,
44,environmental sciences & ecology,p44,InterANTARCTICA,https://www.caitilin.com.au/interantarctica,,,installation,,x,,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,x
45,environmental sciences & ecology,p45,Reefs on the Edge,https://www.caitilin.com.au/reefs-on-the-edge,,,installation,,x,,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,x
46,environmental sciences & ecology,p46,Neighbourhood Scoreboards,https://neighbourhoodscoreboards.com/,,,installation,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,,,x,
47,environmental sciences & ecology,p47,RisingEMOTIONS,https://www.codaworx.com/projects/risingemotions/,,,installation + event,,x,,,,,,,,,x,x,,,,x,,,,,,x,,,,,,,,x,,,,,x,x,x,
48,environmental sciences & ecology,p48,A Conversation Between Trees,,,,installation + event,,x,,,,,,,,,,x,,,,x,,,,,x,,x,,,x,,,,,,,,,,x,,
49,environmental sciences & ecology,p49,Air Quality Balloons,,,,installation + event + artifact,,x,,,,,,,,,,x,x,x,x,x,,,,,x,x,,,,,,,,,,,,x,x,,x,
50,news & media,p50,News feed,https://rudolfoquintas.com/News-Feed,,,installation,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,
51,mixed topics,p51,Sight on Local Data,,,,installation,,,,,,,,,x,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,x,
52,social issues,p52,Wounded land,https://ariane-littman.com/2012/08/border-land-alternative-way-of-mapping-jerusalem-2011-12/,,,artifact,x,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,
53,social issues,p53,Cartographie sensible (Sensitive Cartography),https://visionscarto.net/cartographie-sensible,,,artifact,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
54,environmental sciences & ecology,p54,The Tempestry Project,https://www.tempestryproject.com/,,,artifact,,x,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,
55,environmental sciences & ecology,p55,Chemicals in the Creek,http://datalanterns.com/,,,artifact + event,,x,,,,,,,,,x,x,,x,x,,,x,,,x,,,,,,,,,,,,,x,,,x,
56,health & well-being,p56,EdiPulse,,,,artifact,,,x,,,,,,,,,,,,x,,,,,,x,,,,,x,,,x,x,,,x,,,,,
57,health & well-being,p57,The Hypertension Singing Bowl,https://sonification.com/2013/07/10/hypertension/,,,artifact,,,x,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,x,,,,
58,health & well-being,p58,TastyBeats,,,,artifact,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
59,personal life,p59,Space-time Cubes,https://joannagardener.com/A-Walk-in-the-Park,,,artifact,,,,,x,,,,,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,,
60,mixed topics,p60,Data edibilization,,,,artifact,,,,,,,,,x,,x,,x,,,,,,,,,,,,,x,,,x,,,,,,,,,
61,environmental sciences & ecology,p61,Boston Coastline: Future Past,http://www.kanarinka.com/project/boston-coastline-future-past/,,,event,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,
,,frequency,Frequency,,,,,15,14,12,4,3,3,2,2,6,34,26,14,11,11,10,5,4,3,2,1,32,17,16,12,4,4,3,2,2,16,10,4,4,7,6,5,9,4
